Path, ID, TS_SCFenergy, TS_ZPEenergy, TS_INTenergy, TS_ENTenergy, TS_GIBenergy, R_Path, R_SCFenergy, R_ZPEenergy, R_INTenergy, R_ENTenergy, R_GIBenergy, P_Path, P_SCFenergy, P_ZPEenergy, P_INTenergy, P_ENTenergy, P_GIBenergy, NBasis, NAtoms, TS_deltaE, TS_deltaG, RXN_deltaE, RXN_deltaG, Imag, R_COdist, TS_COdist, P_COdist, R_CSdist, TS_CSdist, P_CSdist, R_MgO1dist, TS_MgO1dist, P_MgO1dist, R_MgO2dist, TS_MgO2dist, P_MgO2dist, R_EHdist, TS_EHdist, P_EHdist, R_OHdist, TS_OHdist, P_OHdist,4,5,6,7,8,9,10,11,38,40,41,42,43,44,46,63,64,65,66,67,68,69,70,71,72,73,74,89,90,91,92,93,94,95,96,117,118,119,120,139,141,142,143,144,145,146,147,148,169,170,172,173,174,175,198,199,300,301,302,402,403,411,441,458,484,498,Rrmsd,Rsam,Rcat,TSrmsd,TSsam,TScat,Prmsd,Psam,Pcat,ModelCharge,ModelType,OrigClusterID,NewClusterID
/home/tsmmers1/chem/comt/arpeggio/model-100-ts-001,Model-321-aa,-8199.276914,-8196.68475,-8196.541415,-8196.540471,-8196.861133,/home/tsmmers1/chem/comt/arpeggio/model-100-ts-001/irc1/1.out,-8199.299056,-8196.707825,-8196.564025,-8196.563081,-8196.884676,/home/tsmmers1/chem/comt/arpeggio/model-100-ts-001/irc2/1.out,-8199.310134,-8196.714779,-8196.570671,-8196.569727,-8196.892644,2062,321,13.89482215,14.77346793,-6.951631081,-4.99999968,-459.047,3.000092848,2.048477284,1.481268506,1.811541953,2.322840755,3.232583337,2.13201069,2.112638061,2.092254153,2.076418031,2.137541287,2.280714516,2.393961888,2.363185248,2.338651937,1.499564588,1.504428362,1.543858725,0,0,0,0,0,0,0,0,R,C,CN,RN,0,0,0,0,0,0,C,CN,CN,N,0,RC,RN,0,0,0,R,0,0,0,0,0,0,0,C,RN,0,0,RC,RCN,RCN,RN,0,0,0,0,RC,RN,0,0,0,0,0,R,S,S,S,W,0,W,W,W,0,0,0.553,0.358,0.628,0.546,0.331,0.31,0.539,0.402,0.237,-1,Arpeggio,2,2
/home/tsmmers1/chem/comt/arpeggio/model-101-ts-001,Model-261-aa,-6565.413457,-6563.297343,-6563.178956,-6563.178011,-6563.453609,/home/tsmmers1/chem/comt/arpeggio/model-101-ts-001/irc1/1.out,-6565.432674,-6563.317785,-6563.198871,-6563.197927,-6563.47567,/home/tsmmers1/chem/comt/arpeggio/model-101-ts-001/irc2/1.out,-6565.454403,-6563.334738,-6563.215745,-6563.2148,-6563.49218,1644,261,12.05865887,13.84349811,-13.63492634,-10.3601901,-460.7505,2.978264759,2.087491871,1.477201574,1.816796379,2.279424393,3.343039513,2.073758312,2.060807023,2.038349701,2.116134485,2.165110893,2.366350875,2.419792847,2.404034956,2.385791525,1.602045606,1.580444496,1.610296583,0,0,0,0,0,0,0,0,R,0,C,N,0,0,0,0,0,0,C,N,0,0,0,C,RN,0,0,0,RC,N,0,0,0,0,0,0,C,N,0,0,R,0,RC,RN,0,0,0,0,RC,RN,0,0,0,0,0,R,S,S,S,W,0,W,W,W,0,0,0.534,0.563,0.578,0.463,0.499,0.398,0.449,0.63,0.437,-1,Arpeggio,4,5
/home/tsmmers1/chem/comt/arpeggio/model-102-ts-001,Model-245-aa,-6202.347316,-6200.362933,-6200.250717,-6200.249773,-6200.514417,/home/tsmmers1/chem/comt/arpeggio/model-102-ts-001/irc1/1.out,-6202.367644,-6200.384832,-6200.272135,-6200.271191,-6200.537418,/home/tsmmers1/chem/comt/arpeggio/model-102-ts-001/irc2/1.out,-6202.384541,-6200.397455,-6200.284148,-6200.283204,-6200.55222,1548,245,12.75607348,14.43335751,-10.6031306,-9.28840302,-464.7092,2.977692129,2.061590504,1.477583652,1.814732392,2.291098452,3.285902036,2.066170178,2.051619536,2.031826686,2.107630693,2.164163577,2.3517504,2.40979364,2.39893942,2.384251883,1.599391296,1.579779719,1.606851345,0,0,0,0,0,0,0,0,R,0,C,N,0,0,0,0,0,0,0,0,0,0,0,C,N,0,0,0,RC,N,0,0,0,0,0,0,C,N,0,0,R,0,RC,RN,0,0,0,0,RC,RN,0,0,0,0,0,R,S,S,S,W,0,W,W,W,0,0,0.616,0.831,0.558,0.567,0.768,0.386,0.554,0.813,0.426,-1,Arpeggio,5,5
/home/tsmmers1/chem/comt/arpeggio/model-103-ts-001,Model-272-aa,-6887.937027,-6885.734128,-6885.611201,-6885.610256,-6885.893934,/home/tsmmers1/chem/comt/arpeggio/model-103-ts-001/irc1/1.out,-6887.957436,-6885.755779,-6885.632377,-6885.631433,-6885.916336,/home/tsmmers1/chem/comt/arpeggio/model-103-ts-001/irc2/1.out,-6887.977485,-6885.771163,-6885.647514,-6885.64657,-6885.932606,1723,272,12.80636841,14.05747902,-12.58106094,-10.2095877,-457.9701,3.033759479,2.093894559,1.47796345,1.818936717,2.296510818,3.352781132,2.075636235,2.061080798,2.039666757,2.115911823,2.167530063,2.363499419,2.421229019,2.404433235,2.389100619,1.612627808,1.588505824,1.616439828,0,0,0,0,0,0,0,0,R,0,C,N,0,0,0,0,0,0,C,CN,N,0,0,C,RN,0,0,0,RC,N,0,0,0,0,0,0,C,RN,0,0,R,0,RC,RN,0,0,0,0,RC,RN,0,0,0,0,0,R,S,S,S,W,0,W,W,W,0,0,0.545,0.582,0.624,0.474,0.518,0.399,0.456,0.645,0.422,-1,Arpeggio,5,5
/home/tsmmers1/chem/comt/arpeggio/model-104-ts-001,Model-379-aa,-9623.218693,-9620.134767,-9619.966978,-9619.966034,-9620.338369,/home/tsmmers1/chem/comt/arpeggio/model-104-ts-001/irc1/1.out,-9623.235367,-9620.149698,-9619.981926,-9619.980982,-9620.352323,/home/tsmmers1/chem/comt/arpeggio/model-104-ts-001/irc2/1.out,-9623.255094,-9620.169886,-9620.001265,-9620.000321,-9620.376421,2379,379,10.46302016,8.75627454,-12.37899017,-15.12173598,-459.8364,2.674986719,2.059369273,1.474136573,1.823774876,2.285386649,3.154725644,2.324085402,2.276378153,2.235182777,2.027654403,2.068442612,2.169182298,2.348290059,2.339323051,2.332430979,1.025473717,1.035482557,1.072352154,0,0,0,0,0,0,0,0,R,RC,CN,RN,0,0,0,0,0,0,C,CN,RN,0,0,RC,RN,0,0,0,RC,RN,0,0,0,0,0,0,C,RCN,RN,0,RC,RCN,RN,0,0,0,0,0,RC,RN,0,0,R,0,RC,RN,S,S,S,0,0,W,W,0,0,0,0.626,0.381,0.558,0.602,0.41,0.469,0.574,0.461,0.641,-2,Arpeggio,3,3
/home/tsmmers1/chem/comt/arpeggio/model-10-ts-001,Model-101-aa,-3099.173294,-3098.369869,-3098.313934,-3098.312989,-3098.465203,/home/tsmmers1/chem/comt/arpeggio/model-10-ts-001/irc2/1.out,-3099.218653,-3098.413872,-3098.358333,-3098.357389,-3098.506002,/home/tsmmers1/chem/comt/arpeggio/model-10-ts-001/irc1/1.out,-3099.243598,-3098.438851,-3098.382279,-3098.381334,-3098.536144,705,101,28.46307549,25.60178049,-15.65313655,-18.91440642,-448.0037,3.11860955,2.114576777,1.460553131,1.821556187,2.270894141,5.630211608,2.163416465,2.207705761,2.243709077,2.070878577,2.067884461,2.165804646,None,None,None,0.991203263,0.969451581,0.980498916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,RC,RN,0,0,0,0,0,0,S,S,S,0,0,W,0,0,0,0,2.002,7.001,1.955,0.525,5.394,3.269,1.178,6.077,3.386,0,Arpeggio,6,6
/home/tsmmers1/chem/comt/arpeggio/model-113-ts-001,Model-357-aa,-8940.481763,-8937.559214,-8937.400343,-8937.399399,-8937.754095,/home/tsmmers1/chem/comt/arpeggio/model-113-ts-001/irc1/1.out,-8940.494863,-8937.57119,-8937.411932,-8937.410987,-8937.767668,/home/tsmmers1/chem/comt/arpeggio/model-113-ts-001/irc2/1.out,-8940.527898,-8937.60323,-8937.443841,-8937.442896,-8937.80099,2214,357,8.220286874,8.51719323,-20.73029486,-20.90988822,-455.8833,2.638229037,2.090038935,1.46203725,1.827442702,2.247275049,3.689823776,2.303015521,2.266818772,2.202189706,2.027326764,2.061542847,2.206114934,2.351016692,2.345520192,2.400424073,1.027865308,1.03674044,1.069659656,0,0,0,0,0,0,0,0,R,RC,CN,RN,0,0,0,0,0,0,C,CN,RN,0,0,RC,RN,0,0,0,0,R,0,0,0,0,0,0,0,RC,RN,0,RC,RCN,RN,0,0,0,0,0,RC,RN,0,0,R,0,RC,RN,S,S,S,0,0,W,W,0,0,0,0.772,0.819,0.599,0.756,0.816,0.495,0.761,0.968,0.398,-1,Arpeggio,3,3
/home/tsmmers1/chem/comt/arpeggio/model-120-ts-001,Model-321-ab,-8065.762431,-8063.139127,-8062.9967,-8062.995756,-8063.321328,/home/tsmmers1/chem/comt/arpeggio/model-120-ts-001/irc1/1.out,-8065.774796,-8063.149976,-8063.007219,-8063.006275,-8063.332921,/home/tsmmers1/chem/comt/arpeggio/model-120-ts-001/irc2/1.out,-8065.818448,-8063.191796,-8063.048575,-8063.04763,-8063.376284,1981,321,7.759280377,7.27472343,-27.39246185,-27.21071613,-462.5743,2.654521421,2.073048816,1.451565109,1.821400937,2.216981047,3.862563317,2.284122426,2.246017002,2.100578887,2.019228351,2.057563044,2.192849123,2.733617391,2.677158476,2.439774486,1.053609009,1.08351095,1.528372858,0,0,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,0,C,CN,RN,0,0,RC,RN,0,0,0,0,R,0,0,0,0,0,0,0,RC,RN,0,RC,CN,RN,0,0,0,0,0,RC,RN,0,0,R,0,RC,RN,S,S,S,0,0,W,0,0,0,0,0.763,0.85,0.615,0.754,0.845,0.506,0.771,0.97,0.494,-1,Arpeggio,1,1
/home/tsmmers1/chem/comt/arpeggio/model-127-ts-001,Model-357-ab,-8997.807838,-8994.891073,-8994.733431,-8994.732487,-8995.082934,/home/tsmmers1/chem/comt/arpeggio/model-127-ts-001/irc1/1.out,-8997.825929,-8994.90995,-8994.751884,-8994.75094,-8995.102761,/home/tsmmers1/chem/comt/arpeggio/model-127-ts-001/irc2/1.out,-8997.836967,-8994.916605,-8994.758214,-8994.75727,-8995.111024,2217,357,11.35270384,12.44164077,-6.926536956,-5.18511513,-462.6021,2.670471457,2.034205835,1.483663135,1.822106391,2.298458304,3.038901815,2.116308021,2.095874943,2.079231595,2.094584272,2.16646368,2.31725626,1.047886071,1.035821169,1.024486719,1.465791004,1.497123115,1.525081733,0,0,0,0,0,0,0,0,R,RC,CN,RN,0,0,0,0,0,0,0,C,RN,0,0,RC,RN,0,0,0,RC,N,0,0,0,0,0,0,C,N,0,0,RC,CN,RCN,RN,0,0,0,0,RC,RN,0,0,R,0,RC,RN,S,S,S,W,0,W,W,W,0,0,0.45,0.577,0.431,0.439,0.591,0.385,0.43,0.628,0.283,-1,Arpeggio,5,5
/home/tsmmers1/chem/comt/arpeggio/model-128-ts-001,Model-368-aa,-9320.34486,-9317.340854,-9317.178941,-9317.177997,-9317.53606,/home/tsmmers1/chem/comt/arpeggio/model-128-ts-001/irc1/1.out,-9320.362872,-9317.35964,-9317.19727,-9317.196326,-9317.556088,/home/tsmmers1/chem/comt/arpeggio/model-128-ts-001/irc2/1.out,-9320.373818,-9317.366159,-9317.203546,-9317.202602,-9317.562761,2296,368,11.30249677,12.56777028,-6.868793486,-4.18737423,-463.0408,2.665207976,2.028671789,1.483563777,1.821235749,2.294459073,3.037665393,2.11531209,2.097216921,2.080004014,2.104026256,2.173665059,2.333736677,1.049751034,1.037143012,1.025215494,1.456107252,1.488393017,1.520230097,0,0,0,0,0,0,0,0,R,RC,CN,RN,0,0,0,0,0,0,C,CN,RN,0,0,RC,RN,0,0,0,RC,N,0,0,0,0,0,0,C,RN,0,0,RC,CN,RCN,RN,0,0,0,0,RC,RN,0,0,R,0,RC,RN,S,S,S,W,0,W,W,W,0,0,0.455,0.557,0.362,0.445,0.573,0.318,0.439,0.599,0.223,-1,Arpeggio,5,5
